"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"IoT-Based Air Quality Monitoring System Using Tsukamoto Fuzzy Logic","C. M. Lauw; D. Priyanto; Husain; I. M. Y. Dharma; M. W. Alfiansyah","Dept. of Computer Science, Bumigora University, Mataram, Indonesia; Dept. of Computer Science, Bumigora University, Mataram, Indonesia; Dept. of Computer Science, Bumigora University, Mataram, Indonesia; Dept. of Computer Science, Bumigora University, Mataram, Indonesia; Dept. of Computer Science, Bumigora University, Mataram, Indonesia",2025 7th International Conference on Cybernetics and Intelligent System (ICORIS),"22 Dec 2025","2025","","","1","6","Air quality control systems are essential for addressing pollution issues in Indonesia, a country facing significant air quality challenges due to rapid urbanization and industrialization. Over a 30-day testing period, the system successfully transmitted 98.7% of 43,200 data packets to a MySQL server via HTTP protocols with an average transmission delay of 2.3 seconds. The Tsukamoto fuzzy inference engine achieved 94.2% accuracy when validated against standard air quality measurements, processing environmental parameters with a response time of 150 ms. This research proposes the design and development of an Internet of Things (IoT)-based air quality monitoring system using Tsukamoto Fuzzy Logic to provide real-time air quality assessments. The system employs DHT11 sensors to measure temperature and humidity, and MQ135 sensors to detect gas and smoke levels, with data processing conducted on an ESP32 microcontroller. The processed data is transmitted via HTTP protocols to a MySQL server for storage and further analysis. This prototype includes a web-based dashboard that visualizes air quality data through graphs and logs, enabling users to monitor environmental conditions effectively. The integration of Tsukamoto Fuzzy Logic ensures accurate categorization of air quality into good or poor conditions. The system provides actionable insights for government interventions and promotes public awareness to mitigate the adverse health effects of air pollution. This work contributes to smart city initiatives by offering a scalable, real-time solution for air quality control, enhancing urban livability and sustainability.","","979-8-3315-5404-0","10.1109/ICORIS67789.2025.11296111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11296111","Air Quality;Tsukamoto Fuzzy Logic;IoT;Embedded Systems;Real-Time Data","Fuzzy logic;Temperature sensors;Temperature measurement;Air quality;Real-time systems;Sensor systems;Sensors;Pollution measurement;Servers;Monitoring","","","","20","IEEE","22 Dec 2025","12-13 Sept. 2025","12-13 Sept. 2025","IEEE","IEEE Conferences"
"An Intelligent IoT Fuzzy Based Approach for Automated Indoor Air Quality Monitoring","M. Zareb; B. Bakhti; Y. Bouzid; C. E. Batista; I. Ternifi; M. Abdenour","Electronic Department, University of Mascara, Mascara, Algeria; Physics Department, University of Osnabrueck, University of Mascara, Osnabrueck, Germany; CSCS Laboratory, Ecole Militaire Polytechnique, Bordi El Bahri, Algeria; School of Technology, Amazonas State University, Brazil; NA; NA",2021 29th Mediterranean Conference on Control and Automation (MED),"15 Jul 2021","2021","","","770","775","Indoor air quality has a critical impact on human and animal health and well-being. Because of the confinement during the Covid-19 health crisis, millions of people were forced to stay at home. Therefore, living environments should incorporate an automated monitoring system to detect unfavorable air quality scenarios. Also, Internet of things (IoT) due to their ability to carry air low-cost sensing units have become a cheap alternative to monitor pollution values in a given area. However, enough still needs to be learned as these types of studies are expected to increase in the future years. In this paper, we have developed an intelligent IoT-fuzzy-based device based on low-cost sensors for indoor air quality monitoring (IoT-fuzzy-based AQM). It used a type-1 fuzzy inference system to improve the measurement accuracy of the low-cost sensors and to estimate the air quality index. Experiment tests are made in an indoor environment (home), where the obtained results have proved the effectiveness of the realized system.","2473-3504","978-1-6654-2258-1","10.1109/MED51440.2021.9480313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9480313","IoT;Air quality monitoring;type-1 fuzzy inference system;low-cost sensors;calibration;Smart Home;Smart Risk;Smart City","Fuzzy logic;Urban areas;Smart homes;Sensor systems;Pollution measurement;Internet of Things;Indexes","","5","","20","IEEE","15 Jul 2021","22-25 June 2021","22-25 June 2021","IEEE","IEEE Conferences"
"FL-CNN-LSTM: Indoor Air Quality Prediction Using Fuzzy Logic and CNN-LSTM Model","R. Bao; Y. Zhou; W. Jiang","School of Resources and Environmental Engineering, Shanghai Polytechnic University, Shanghai, China; School of Software, Yunnan University, Kunming, China; School of Computer and Information Engineering, Shanghai Polytechnic University, Shanghai, China",2022 2nd International Conference on Electrical Engineering and Control Science (IC2ECS),"6 Apr 2023","2022","","","986","989","With generations spending about 90% of their time indoors, indoor environmental quality monitoring and prediction is a very important tool to protect the health of indoor people from indoor air pollution. This paper proposes a hybrid fuzzy logic and deep neural network method to predict indoor air pollution. And using PM2.5 pollutants as an example, we use the proposed model to train and predict the dataset collected by indoor sensors from November 2016 to March 2017 in Shanghai. In the procedure of prediction, we designed comparison experiments using LSTM (Long Short-Term Memory), CNN-LSTM, and our proposed FL-CNN-LSTM network based on the PyTorch framework. The results show that deep neural networks injected with fuzzy logic can provide both better predictive performance and interpretability for the intended application. This helps to provide control strategies for smart IoT devices to improve the quality of human life.","","979-8-3503-9916-5","10.1109/IC2ECS57645.2022.10088050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10088050","fuzzy logic;indoor air quality;CNN;LSTM;IoT","Fuzzy logic;Deep learning;Atmospheric modeling;Neural networks;Predictive models;Air pollution;Internet of Things","","11","","19","IEEE","6 Apr 2023","16-18 Dec. 2022","16-18 Dec. 2022","IEEE","IEEE Conferences"
"Air Quality Indices Prediction using Sugeno’s Fuzzy Logic","R. Kumar; S. Kumar; E. Amiy","Electrical and Electronics Engineer Birla Institute of Technology, Mesra, Jharkhand, India; EEE Birla Institute of Technology, Mesra, Jharkhand, India; Electrical and Electronics Engineer Birla Institute of Technology, Mesra, Jharkhand, India",2022 International Conference on IoT and Blockchain Technology (ICIBT),"30 Jun 2022","2022","","","1","5","Air quality is an important part of the built environment that helps to keep occupants healthy, comfortable, prosperous, and productive. The atmosphere of indoor air quality is one of the most pressing challenges on major leading cities of India. Air pollution in India is very serious health issue for public health with 13 out of 20 cities with most air pollution is present in India. Indoor air pollution has a ten-fold greater impact on the degradation of human life quality than outdoor air pollution due to harmful chemicals and other toxic materials. CPCB (Central Pollution Control Board) is the air pollution monitoring unit of the India, which has assigned different individual scores. The present investigation is based on air pollutant concentration of in Ranchi, Jharkhand. We have applied fuzzy logic to data obtained using our portable air quality index measurement unit made using Arduino as against conventional linear interpolation methods.","","978-1-6654-2416-5","10.1109/ICIBT52874.2022.9807786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9807786","Air Quality Index;Fuzzy Logic System;Air pollution;pollutants","Fuzzy logic;Interpolation;Measurement units;Urban areas;Pollution control;Pressing;Air pollution","","4","","11","IEEE","30 Jun 2022","6-8 May 2022","6-8 May 2022","IEEE","IEEE Conferences"
"Optimizing Indoor Air Quality: A Fuzzy Logic-based Control System","C. Venkateswara Rao; M. K. V. S. Reddy; J. Kishore; R. V. P. Sirisha; B. Srinivasa Seshagiri Rao; H. Killamsetti","Department of ECE, Vishnu Institute of Technology, Bhimavaram, INDIA; Department of ECE, Vishnu Institute of Technology, Bhimavaram, INDIA; Department of ECE, B V Raju Institute of Technology, Narsapur, Medak, INDIA; Department of ECE, Vishnu Institute of Technology, Bhimavaram, INDIA; Department of Physics and Electronics, B V Raju College, Bhimavaram, INDIA; Department of ECE, Vishnu Institute of Technology, Bhimavaram, INDIA","2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)","26 Jan 2024","2023","","","1053","1057","In the current context, ensuring and maintaining high indoor air quality is of paramount importance for all individuals, as indoor pollution levels often surpass those found outdoors. The consequences of indoor air pollution can manifest immediately after exposure or emerge years later, leading to various health issues. Enhancing indoor air quality through proper ventilation is essential, as it not only improves the quality of the air but also mitigates health risks associated with indoor pollution. Given the fast-paced lifestyles of people today, monitoring and automating the indoor air-refreshing process is crucial. This work introduces a system designed to monitor and regulate indoor air quality, temperature, and humidity by utilizing Arduino technology and a fuzzy logic controller. Additionally, the system can detect LPG gas leaks and issue SMS alerts to users via GSM technology. Furthermore, it incorporates an HEPA filter to purify the air. The system employs the MQ-135 sensor to measure air quality and the DHT-11 sensor to gauge temperature and humidity, while LPG gas detection is achieved with the MQ-2 sensor. The data from these sensors is used to modulate the speed of the ventilation fan through the fuzzy logic controller. This integrated system demonstrates exceptional performance in controlling and monitoring air quality within indoor environments, thereby effectively reducing indoor air pollution and decreasing power consumption associated with the ventilation mechanism.","","979-8-3503-4023-5","10.1109/ICACRS58579.2023.10404877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10404877","Indoor Air Quality;Fuzzy Logic;Ventilation;Air Purification;Environmental Optimization;Energy Efficiency.","Temperature measurement;Temperature sensors;GSM;Humidity;Air pollution;Monitoring;Indoor air quality","","8","","20","IEEE","26 Jan 2024","11-13 Dec. 2023","11-13 Dec. 2023","IEEE","IEEE Conferences"
"AirMobilize: IoT-Powered Air Quality Monitoring on the Go","R. J. R; P. K; P. S; V. V; S. P","Information Technology Dept, RMK Engineering College, Chennai, India; Information Technology, RMK Engineering College, Chennai, India; Information Technology, RMK Engineering College, Chennai, India; Information Technology, RMK Engineering College, Chennai, India; Information Technology, RMK Engineering College, Chennai, India","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)","3 Jan 2024","2023","","","1","5","This project investigates the use of Internet of Things (IoT) technologies for the present monitoring of air pollution. We construct and use sensor nodes to collect data on various air contaminants, allowing for remote access and analysis. The system provides a cost-effective and efficient substitute for monitoring air quality, assisting in combating pollution and public health management.","","979-8-3503-0570-8","10.1109/RMKMATE59243.2023.10369697","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369697","Air pollution monitoring system;sensors;GPS;Cloud;Distributed systems","Statistical analysis;Surveillance;Government;Data collection;Air pollution;Real-time systems;Knowledge management","","","","25","IEEE","3 Jan 2024","1-2 Nov. 2023","1-2 Nov. 2023","IEEE","IEEE Conferences"
"Design and Development of Fuzzy Logic Based Car Cabin Pollution Monitoring System","M. Z. Bin Kamal Abdul; B. A. Nayan; S. Z. Yahaya; R. Boudville; K. A. Ahmad; N. I. B. Husin","Centre of Electrical Engineering Studies, Universiti Teknologi MARA, Pulau Pinang, Malaysia; Centre of Electrical Engineering Studies, Universiti Teknologi MARA, Pulau Pinang, Malaysia; Centre of Electrical Engineering Studies, Universiti Teknologi MARA, Pulau Pinang, Malaysia; Centre of Electrical Engineering Studies, Universiti Teknologi MARA, Pulau Pinang, Malaysia; Centre of Electrical Engineering Studies, Universiti Teknologi MARA, Pulau Pinang, Malaysia; Department of Applied Sciences, Universiti Teknologi MARA, Pulau Pinang, Malaysia","2022 IEEE 12th International Conference on Control System, Computing and Engineering (ICCSCE)","7 Nov 2022","2022","","","191","196","This paper presents the development of air quality monitoring system based on internet of things, IOT application to control the concentration of carbon dioxide gas and carbon monoxide gas in car cabin. Carbon monoxide is one most dangerous gas and nowadays there were many fatal cases happen caused by the gas leakage, while increasing of the concentration carbon dioxide will reduce oxygen level in the air, thus can cause the driver to be fatigue, and sleepiness. Moreover, gas detector usually not installed in nowadays car. To develop smart air quality monitoring system, Arduino MKR 1010, CJMCU 811(carbon dioxide sensor), MQ-7(carbon monoxide sensor), Adafruit io application, IFTTT, Webhooks, Telegram, and MATLAB fuzzy logic toolbox were used. Furthermore, Fuzzy Logic Controller (FLC) was used to analyze the input and produce the system's output decisions on the level of gas toxicities. The five levels of gas toxicities are very safe, safe, warning, high, and very high. The decision of gas level will be sent to IOT application which is Adafruit and then triggered the three types of LED indicator, power window motor, buzzer, and signal to webhook to send the Telegram. Besides, Adafruit IO also act as the platform to present the data of gases graph pattern. In addition, MATLAB fuzzy logic toolbox was used to make comparison between the result of Arduino analysis with the value of simulation. Furthermore, Telegram messenger also act as a medium to notify the users. Based on the system evaluation, this system has performed well in analysing the gas concentrating inputs and show stable IOT interactions in triggering related warning and safety devices.","","978-1-6654-8339-1","10.1109/ICCSCE54767.2022.9935658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935658","Fuzzy Logic;Adafruit IO;IFTT;MATLAB","Fuzzy logic;Toxicology;Carbon dioxide;Air quality;Carbon monoxide;Internet of Things;Automobiles","","","","16","IEEE","7 Nov 2022","21-22 Oct. 2022","21-22 Oct. 2022","IEEE","IEEE Conferences"
"Review on Air Pollution Monitoring using AI","A. Tiwari; S. Gupta; G. S. Mitra Thakur","Department of Information Technology, Dr. B. C. Roy Engineering College (MAKAUT), Durgapur, India; Department of Information Technology, Dr. B. C. Roy Engineering College (MAKAUT), Durgapur, India; Department of Computer Science and Engineering (AIML), Dr. B. C. Roy Engineering College(MAKAUT), Durgapur, India",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"23 Nov 2023","2023","","","1","5","Air pollution could be a major issue influencing not as it were the environment but moreover wellbeing of human due to contamination and it can cause respiratory issues such as heart infections and indeed cancer. It too hurts encompassing and environments which causes contaminated discuss in various, counting transportation, industry, and common occasions like fierce blazes and tidy storms. Tending to discuss contamination require a multifaceted approach that incorporates lessening destructive substances from industry and transportation, advancing vitality sources which is renewable, and actualizing arrangements and directions that prioritize open wellbeing and natural assurance. Person activities, such as diminishing car utilize and supporting naturally capable companies, moreover play a basic part in relieving discuss contamination. As a society, we must take quick activity to address discuss contamination and work towards a cleaner, more beneficial future for all. Prior customary strategies were utilized to foresee discuss quality observing utilizing fuzzy logic. Fuzzy logic is an numerical apparatus that permits for instability and imprecision in information examination. Ordinary strategies, such as factual investigation, were utilized to anticipate discuss quality based on chronicled information. Be that as it may, fuzzy logic permits for a more energetic and flexible approach to discuss quality observing, taking into consideration a more extensive run of factors and variables. This has driven to more precise forecasts and moved forward administration of discuss quality procedures. Fuzzy logic is one of a valuable frame of rationale esteem in observing discuss quality and administration, nearby other progressed procedures and innovations.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10306902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10306902","Air quality monitoring;Fuzzy Logic;Rule Base;MATLAB","Fuzzy logic;Deep learning;Atmospheric measurements;Transportation industry;Transportation;Air pollution;Time measurement","","1","","33","IEEE","23 Nov 2023","6-8 July 2023","6-8 July 2023","IEEE","IEEE Conferences"
"Implimentation and Study of Fuzzy Based IoT enabled Health Alert system using AQI","P. Tripathi; A. Pal; V. Kumar; N. K. Sharma; A. Kumar; P. Pandey","Department of Mathematics and Scientific Computing, Madan Mohan Malviya University of Technology, Gorakhpur, Uttar Pradesh, India; Department of Electronics Engineering, Rajkiya Engineering college, Sonbhadra, India; Department of Electronics Engineering, Rajkiya Engineering college, Sonbhadra, India; Department of Electronics Engineering, Rajkiya Engineering college, Sonbhadra, India; Department of Electronics Engineering, Rajkiya Engineering college, Sonbhadra, India; Department of Electronics Engineering, Rajkiya Engineering college, Sonbhadra, India","2023 International Conference on IoT, Communication and Automation Technology (ICICAT)","2 Oct 2023","2023","","","1","6","This paper proposes an IoT-based alert system regarding health based on data of Air Quality Index, humidity and temperature. The system utilize sensors to collect real-time data on air pollutants, such as carbon monoxide(co), nitrogen dioxide and particulate matter(PM10 and PM2.5), or temperature and humidity from selected location. Real-time data will be updated to cloud using Things Speak IoT platform. Real-time data of selected parameters had been collected from Varanasi City for one week and for one day. This proposed IoT based system Fuzzy logic is used to give alert on the basis of quality of Temperature, Humidity and Air Quality Based on these data fuzzy logic condition are prepared and alert will be generated. The system can provide timely alerts and recommendation for different age of people. Preventive actions can be taken based on suggestions generated by automated system. In on going era of falling environmental condition this proposed automated system will help elderly people, small kids and susceptible people to keep them healthy as proven by mathematical model.","","979-8-3503-0282-0","10.1109/ICICAT57735.2023.10263668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10263668","IoT;Things speak;AQI;Fuzzy Logic;MATLAB;Sensor","Temperature sensors;Fuzzy logic;Temperature distribution;Urban areas;Humidity;Real-time systems;Mathematical models","","","","13","IEEE","2 Oct 2023","23-24 June 2023","23-24 June 2023","IEEE","IEEE Conferences"
"Fuzzy Logic Controller of Indoor Air Quality Monitoring and Control System for Risk Reduction of COVID-19 Transmission","M. I. Hishamuddin; H. Mansor; M. Zahaba; N. M. Yusoff; T. S. Gunawan","Electrical and Computer Eng. Department, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Eng. Department, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Kulliyyah of Science, International Islamic University Malaysia, Kuantan, Pahang, Malaysia; Razak Faculty of Tech. and Informatics, Universiti Teknologi Malaysia Kuala Lumpur, Kuala Lumpur, Malaysia; Electrical and Computer Eng. Department, International Islamic University Malaysia, Kuala Lumpur, Malaysia","2022 IEEE 8th International Conference on Smart Instrumentation, Measurement and Applications (ICSIMA)","28 Oct 2022","2022","","","313","317","The risk of Coronavirus disease (COVID-19) was reported to be higher in the indoor environment due to poor ventilation systems. A good and efficient ventilation system in enclosed spaces can help reduce the risk of infection. Thus, it is important to monitor the efficiency of the ventilation system. Therefore, this research aims to develop an indoor air quality (IAQ) monitoring and control system using the fuzzy logic controller (FLC). Three IAQ parameters were selected in this study (temperature, relative humidity (RH), and carbon dioxide (CO2) concentration). In addition, benchmark testing was done to test the efficiency of the IAQ monitoring and control system. The system's engine is a microcontroller, which collects data on IAQ parameters, and is equipped with an exhaust fan as the ventilation strategy. The device aids in monitoring IAQ parameters and is equipped with an exhaust fan as the ventilation strategy. The device, which aids in monitoring IAQ, was created using a machine learning technique, fuzzy logic controller. The performance of the proposed air quality monitoring and control system was also investigated and validated through several experiments. The system was tested by modifying each parameter individually while keeping the controlled parameters safe. In addition, the tests were changed to include the existence of a controller in the system to see how ventilation affects the measured metrics. The test revealed that without the controller, the parameters take a long time to return to their initial values, however with the controller, the readings return to their original values faster than normal. The system also demonstrated that by following the fuzzy rules set, it is capable of handling two parameters at the same time.","2640-6535","978-1-6654-8800-6","10.1109/ICSIMA55652.2022.9929189","Ministry of Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9929189","COVID-19;fuzzy logic controller (FLC);indoor air quality (IAQ);control system","COVID-19;Fuzzy logic;Temperature sensors;Temperature measurement;Performance evaluation;Fans;Control systems","","8","","7","IEEE","28 Oct 2022","26-28 Sept. 2022","26-28 Sept. 2022","IEEE","IEEE Conferences"
