key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-457898466,UAV-Based Hybrid Fuzzy Inference Framework for Symmetry and Asymmetry in Real-Time Air Quality Monitoring,2025,12,,SYMMETRY-BASEL,,17,12,,"Beryozkina, Svetlana and Zicmane, Inga",,English,MDPI,"MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND","This study presents a UAV-based fuzzy inference framework for real-time air quality monitoring that integrates symmetric and asymmetric fuzzy rules. Symmetric rules capture baseline pollutant dynamics, ensuring computational stability, while asymmetric rules account for local anomalies, turbulence, and environmental disturbances, effectively regularizing the inherently ill-posed backward problem of reconstructing pollutant concentrations from noisy UAV measurements. Simulation and field experiments demonstrate that this hybrid fuzzy approach provides both mathematical robustness and practical reliability, outperforming purely symmetric models in dynamic, asymmetric environments. The proposed framework offers a generalizable methodology for environmental monitoring, emphasizing the critical role of symmetry and its breaking in modeling real-world ecological processes. Future developments will focus on atmospheric dispersion integration, fuzzy rule optimization, and large-scale UAV deployment. The results indicate that the hybrid fuzzy inference system can enhance the accuracy and reliability of UAV-based air quality monitoring under real-world disturbances, providing a robust framework applicable for urban planning, environmental policy, and large-scale deployment scenarios.","",10.3390/sym17122048,asymmetry; adaptive control; air quality monitoring; environmental data interpretation; fuzzy log...,,
rayyan-457898478,Dew computing-inspired health-meteorological factor analysis for early prediction of bronchial asthma,2021,4,,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,1084-8045,179,,,"Manocha, Ankush and Bhatia, Munish and Kumar, Gulshan",,English,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND","Bronchial asthma is one of the most common chronic diseases of childhood and considered as a major health problem globally. The irregularity in meteorological factors has become a primary cause of health severity for the individuals suffering from asthma. In the presented research, a dew-cloud assisted cyber-physical system (CPS) is proposed to analyze the correlation between the meteorological and health parameters of the individuals. The work is primarily focused on determining the health adversity caused by the irregular scale of meteorological factors in real-time. IoT-assisted smart sensors are utilized to capture ubiquitous information from indoor environment that make a vital impact on the health of the individual directly or indirectly. The data is analyzed over the cyber-space to quantify the probable irregular health events by utilizing the data classification efficiency of Weighted-Na?ve Bayes modeling technique. Moreover, the relationship between meteorological and health parameters is estimated by utilizing the Adaptive Neuro-Fuzzy Inference System (ANFIS) and calculate a unifying factor over the temporal scale. To validate the monitoring performance, the proposed model is implemented in the four schools of Jalandhar, India. The experimental evaluation of the proposed model acknowledges the performance efficiency through several statistical approaches. Furthermore, the comparative analysis is evalu-ated with state-of-the-art decision-making algorithms that demonstrate the effectiveness of the proposed solution for the targeted application.","",10.1016/j.jnca.2021.102995,Dew computing; Internet of things; Smart healthcare; Bronchial asthma,,
rayyan-457898486,Optimal Environment Control Mechanism Based on OCF Connectivity for Efficient Energy Consumption in Greenhouse,2023,3,,IEEE INTERNET OF THINGS JOURNAL,2327-4662,10,6,5035-5049,"Rizwan, Atif and Khan, Anam Nawaz and Ahmad, Rashid and Kim, Do Hyeun",,English,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Greenhouses are a productive system that allows us to respond to the growing global demand for fresh and healthy food throughout the year, but the greenhouse environment is not easily controlled because its climate parameters are interrelated. However, the numbers of the actuator are operated parallelly to maintain the greenhouse environment; as a result, the energy consumption of greenhouses is high. In this study, we presented the optimization module by considering the outdoor environment with the aim of minimum energy consumption. Metaheuristic-based differential evaluation (DE) is used to optimize the climate parameters by considering indoor and outdoor environmental constraints. Furthermore, the long short-term memory (LSTM)-based inference model is offloaded on the Internet of Things (IoT) device to predict the next environmental situation. The objective function selects the optimal parameters within user preferences with minimum energy consumption based on the inferred parameter value. The open-source software framework IoTivity, implementing open connectivity foundation (OCF) technical standards, is used for the real-time connection between IoT devices and the IoT platform. Greenhouse owners can set the preferences based on the requirements of plants in the greenhouse by using a smart and remotely accessible Android-based interface. A fuzzy logic-based control module operates on an IoT device that maps the optimized parameters with the actuator and operates accordingly. The proposed model is analyzed, and the performance is evaluated in terms of energy consumption for each climate parameter and actuator in the greenhouse. The results show that the proposed mechanism saves 36\% of energy.","",10.1109/JIOT.2022.3222086,Green products; Air pollution; Internet of Things; Actuators; Standards; Optimization; Energy con...,,
rayyan-457898490,Adaptive Millimeter Wave Channel Switching Based on Real-Time Weather Data Using Fuzzy Logic Control,2025,,,IEEE JOURNAL OF RADIO FREQUENCY IDENTIFICATION,,9,,377-383,"Mrebit, Abdulmajid and Abuhdima, Esmail and Liu, Jian and Nazeri, Amirhossein and Tadessa, Nabeyou and Rolle, Naomi and Laing, Jason and Comert, Gurcan and Huang, Chin-Tser and Pisu, Pierluigi",,English,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Millimeter wave (mmWave) communication systems offer high data rates, but these systems are highly susceptible to environmental factors, particularly weather conditions such as rain, dust, and sand. This paper presents a novel approach to enhance the reliability of mmWave communication by implementing a Fuzzy Controller System (FCS) for dynamic channel switching. The proposed system integrates real-time measured weather data, such as rain rate, with the fuzzy logic controller to intelligently select the optimum frequency channel with the least attenuation under current atmospheric conditions. The fuzzy controller makes adaptive switching decisions by continuously analyzing environmental changes to maintain signal quality and system performance. Experimental results and simulations demonstrate that incorporating real measured data significantly improves the system's ability to respond to weather variability, ensuring stable and efficient mmWave communication. This work provides a practical framework for implementing intelligent, weather-aware channel-switching mechanisms in next-generation wireless communication networks.","",10.1109/JRFID.2025.3575098,Meteorology; Millimeter wave communication; Real-time systems; Rain; Fuzzy logic; Control systems...,,
rayyan-457898492,Real-Time Data Fusion Algorithm for Multi-Modal Environmental Sensor Networks Using Kalman Filtering and IoT Integration,2026,,,ANALYTICAL LETTERS,0003-2719,,,,"Mary, S. A. Sahaaya Arul and Prasad, V, K. D. and Raj, S. Dinakar and Sathyapriya, S. and Lalitha, R. V. S. and Rao, G. Siva Nageswara",,English,TAYLOR \& FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","Fusion of heterogeneous, noisy, and asynchronous multimodal data streams is essential to environmental sensor networks, given the computational, memory, and energy constraints of IoT devices. This paper introduces a real-time data fusion framework integrating hybrid adaptive Kalman filtering, distributed edge computing, and seamless IoT connectivity. The proposed framework incorporates three key innovations. First, a hybrid adaptive Kalman filtering mechanism employs the Unscented Kalman Filter (UKF) sigma-point technique, augmented with Long Short-Term Memory (LSTM) neural networks and fuzzy logic, for dynamic noise correction and robust nonlinear state estimation. Second, a three-tier distributed fusion architecture employs edge computing for local data processing, reducing network latency, communication overhead, and energy consumption. Third, a modular Service-Oriented Architecture enables seamless IoT integration, remote data access, and adaptive system reconfiguration. The framework also incorporates multi-criteria fault detection that combines chi-square tests, sequential probability ratio tests, and LSTM-based predictive compensation during sensor failures. Experimental validation employed 150 sensors for urban air-quality monitoring, industrial facility surveillance, and water-quality measurement. Sensor nodes utilized ESP32-S3 microcontrollers with LoRa communication, while Raspberry Pi 4 devices served as edge gateways connected to AWS IoT infrastructure. Compared to standard Kalman filtering, the proposed method achieved: (i) 25.2\% reduction in root mean square estimation error, (ii) 41\% energy reduction driven by 70\% communication savings through predictive transmission and edge compression, (iii) sub-100 ms end-to-end latency representing 54\% improvement, and (iv) robust performance maintaining below 10\% degradation at 15\% sensor failure rates.","",10.1080/00032719.2026.2615824,Adaptive Kalman filtering; distributed architectures; edge computing; environmental monitoring; f...,,
rayyan-457898502,Intelligent control of ginger far-infrared radiation and hot-air drying based on multi-sensor fusion technology,2025,1,,FOOD AND BIOPRODUCTS PROCESSING,0960-3085,149,,415-427,"Pei, Yongsheng and Fan, Lin and Wang, Changzhi and Tian, Guizhong and Meng, Xiangyi and Li, Zhenfeng and Xu, Wanxiu",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","In this study, a far infrared radiation and hot-air drying (FIR-HAD) system with multi-sensor detection was developed. Flavor and image information of ginger slices were online monitored with a PEN3 electronic nose and computer vision throughout the whole drying process, respectively. Firstly, ginger slices were dried at four constant temperatures. The response signals of the W1W and W2W sensors (the two most responsive sensors in PEN3 electronic nose system), as well as Delta E (color difference), BI/BI0 (browning index of dried samples/ browning index of fresh samples), were determined to reflect flavor and color changes based on results from the multi-sensor results. The effects of various constant drying temperatures on the main chemical properties of ginger slices were also examined. The results indicate that the dried samples subjected to FIR-HAD at 60 degrees C had the highest content of 6-gingerol and 8-gingerol compared to other constant drying temperature. In addition, the antioxidant activity and total flavonoid content were also maintained at satisfactory levels under this condition. Then, a fuzzy logic control (FLC) strategy was developed to continuously adjust the output power for optimizing the FIR-HAD process. To determine fuzzy input parameters, the correlation analysis between the online detection signals and the main chemical properties was conducted based on the moisture ratio of samples. The FLC strategy was developed in two stages based on the results of the correlation analysis, with various control rules applied at each stage. The organoleptic quality and chemical quality of dried samples using FLC drying were significantly improved compared to the constant temperature drying. In addition, the FLC drying strategy achieved the highest gray relational degree value, a metric used to evaluate the overall performance of various drying strategies based on multiple indicators, in the assessment of drying time, color properties, and main qualities. This indicates that combining the FLC strategy with multi-sensor detection technology provides an advantageous optimal treatment for FIR-HAD.","",10.1016/j.fbp.2024.12.009,Intelligent control; Computer vision; Electronic nose; Drying; Fuzzy logic,,
rayyan-457898505,Intelligent Controllers and Optimization Algorithms for Building Energy Management Towards Achieving Sustainable Development: Challenges and Prospects,2021,,,IEEE ACCESS,2169-3536,9,,41577-41602,"Parvin, K. and Lipu, M. S. Hossain and Hannan, M. A. and Abdullah, Majid A. and Jern, Ker Pin and Begum, R. A. and Mansur, Muhamad and Muttaqi, Kashem M. and Mahlia, T. M. Indra and Dong, Zhao Yang",,English,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Buildings account for a significant amount of energy consumption leading to the issues of global emissions and climate change. Thus, energy management in a building is increasingly explored due to its significant potential in reducing the overall electricity expenses for the consumers and mitigating carbon emissions. In line with that, the greater control and optimization of energy management integrated with renewable energy resources is required to improve building energy efficiency while satisfying indoor environment comfort. Even though actions are being taken to reduce the energy consumption in buildings with several optimization and controller techniques, yet some issues remain unsolved. Therefore, this work provides a comprehensive review of the conventional and intelligent control methods with emphasis on their classification, features, configuration, benefits, and drawbacks. This review critically investigates the different optimization objectives and constraints with respect to comfort management, energy consumption, and scheduling. Furthermore, the review outlines the different methodological approaches to optimization algorithms used in building energy management. The contributions of controller and optimization in building energy management with the relation of sustainable development goals (SDGs) are explained rigorously. Discussions on the key challenges of the existing methods are presented to identify the gaps for future research. The review delivers some effective future directions that would be beneficial to the researchers and industrialists to design an efficiently optimized controller for building energy management toward targeting SDGs.","",10.1109/ACCESS.2021.3065087,Buildings; Optimization; Energy consumption; Energy management; Temperature sensors; Monitoring; ...,,
rayyan-457898506,IoT-Based Air Quality Monitoring System Using Tsukamoto Fuzzy Logic - 2025 7th International Conference on Cybernetics and Intelligent System (ICORIS),2025,,,,,,,1--6,"Lauw, C. M. and Priyanto, D. and Husain and Dharma, I. M. Y. and Alfiansyah, M. W.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11296111,,IEEE,,"Air quality control systems are essential for addressing pollution issues in Indonesia, a country facing significant air quality challenges due to rapid urbanization and industrialization. Over a 30-day testing period, the system successfully transmitted 98.7\% of 43,200 data packets to a MySQL server via HTTP protocols with an average transmission delay of 2.3 seconds. The Tsukamoto fuzzy inference engine achieved 94.2\% accuracy when validated against standard air quality measurements, processing environmental parameters with a response time of 150 ms. This research proposes the design and development of an Internet of Things (IoT)-based air quality monitoring system using Tsukamoto Fuzzy Logic to provide real-time air quality assessments. The system employs DHT11 sensors to measure temperature and humidity, and MQ135 sensors to detect gas and smoke levels, with data processing conducted on an ESP32 microcontroller. The processed data is transmitted via HTTP protocols to a MySQL server for storage and further analysis. This prototype includes a web-based dashboard that visualizes air quality data through graphs and logs, enabling users to monitor environmental conditions effectively. The integration of Tsukamoto Fuzzy Logic ensures accurate categorization of air quality into good or poor conditions. The system provides actionable insights for government interventions and promotes public awareness to mitigate the adverse health effects of air pollution. This work contributes to smart city initiatives by offering a scalable, real-time solution for air quality control, enhancing urban livability and sustainability.","",10.1109/ICORIS67789.2025.11296111,"",,
rayyan-457898509,Air Quality Indices Prediction using Sugeno’s Fuzzy Logic - 2022 International Conference on IoT and Blockchain Technology (ICIBT),2022,,,,,,,1--5,"Kumar, R. and Kumar, S. and Amiy, E.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9807786,,IEEE,,"Air quality is an important part of the built environment that helps to keep occupants healthy, comfortable, prosperous, and productive. The atmosphere of indoor air quality is one of the most pressing challenges on major leading cities of India. Air pollution in India is very serious health issue for public health with 13 out of 20 cities with most air pollution is present in India. Indoor air pollution has a ten-fold greater impact on the degradation of human life quality than outdoor air pollution due to harmful chemicals and other toxic materials. CPCB (Central Pollution Control Board) is the air pollution monitoring unit of the India, which has assigned different individual scores. The present investigation is based on air pollutant concentration of in Ranchi, Jharkhand. We have applied fuzzy logic to data obtained using our portable air quality index measurement unit made using Arduino as against conventional linear interpolation methods.","",10.1109/ICIBT52874.2022.9807786,"",,
rayyan-457898510,"Optimizing Indoor Air Quality: A Fuzzy Logic-based Control System - 2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)",2023,,,,,,,1053--1057,"Rao, C. Venkateswara and Reddy, M. K. V. S. and Kishore, J. and Sirisha, R. V. P. and Rao, B. Srinivasa Seshagiri and Killamsetti, H.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10404877,,IEEE,,"In the current context, ensuring and maintaining high indoor air quality is of paramount importance for all individuals, as indoor pollution levels often surpass those found outdoors. The consequences of indoor air pollution can manifest immediately after exposure or emerge years later, leading to various health issues. Enhancing indoor air quality through proper ventilation is essential, as it not only improves the quality of the air but also mitigates health risks associated with indoor pollution. Given the fast-paced lifestyles of people today, monitoring and automating the indoor air-refreshing process is crucial. This work introduces a system designed to monitor and regulate indoor air quality, temperature, and humidity by utilizing Arduino technology and a fuzzy logic controller. Additionally, the system can detect LPG gas leaks and issue SMS alerts to users via GSM technology. Furthermore, it incorporates an HEPA filter to purify the air. The system employs the MQ-135 sensor to measure air quality and the DHT-11 sensor to gauge temperature and humidity, while LPG gas detection is achieved with the MQ-2 sensor. The data from these sensors is used to modulate the speed of the ventilation fan through the fuzzy logic controller. This integrated system demonstrates exceptional performance in controlling and monitoring air quality within indoor environments, thereby effectively reducing indoor air pollution and decreasing power consumption associated with the ventilation mechanism.","",10.1109/ICACRS58579.2023.10404877,"",,
