ID_articulo,doi,url,title,Estado_acceso
A001,10.3390/sym17122048,,UAV-Based Hybrid Fuzzy Inference Framework for Symmetry and Asymmetry in Real-Time Air Quality Monitoring,Descargado
A005,10.1080/00032719.2026.2615824,,Real-Time Data Fusion Algorithm for Multi-Modal Environmental Sensor Networks Using Kalman Filtering and IoT Integration,Requested
A008,10.1109/ICORIS67789.2025.11296111,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11296111,IoT-Based Air Quality Monitoring System Using Tsukamoto Fuzzy Logic - 2025 7th International Conference on Cybernetics and Intelligent System (ICORIS),Sin acceso
A009,10.1109/ICIBT52874.2022.9807786,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9807786,Air Quality Indices Prediction using Sugeno’s Fuzzy Logic - 2022 International Conference on IoT and Blockchain Technology (ICIBT),Descargado
A010,10.1109/ICACRS58579.2023.10404877,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10404877,"Optimizing Indoor Air Quality: A Fuzzy Logic-based Control System - 2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)",Requested
A012,10.1109/ICCCNT56998.2023.10306902,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10306902,Review on Air Pollution Monitoring using AI - 2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),Requested
A016,10.1109/ECICE59523.2023.10383051,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10383051,"IoT-based Indoor Air Quality Surveillance and Purifier - 2023 IEEE 5th Eurasia Conference on IOT, Communication and Engineering (ECICE)",Requested
A019,10.1109/ICAIS56108.2023.10073742,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073742,An IoT-based Approach to Air Circulation within a Specific Room Environment - 2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS),Requested
A020,10.1109/iSCI57775.2022.00019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062733,Indoor air quality assessment and control using fuzzy inference - 2022 IEEE 10th International Conference on Smart City and Informatization (iSCI),Requested
A021,10.1109/ICITech50181.2021.9590187,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9590187,Smartphone Application As An Air Quality Monitor Using Raspberry Pi For Reducing Air Pollution - 2021 2nd International Conference on Innovative and Creative Information Technology (ICITech),Descargado
A024,10.1109/ICEEICT61591.2024.10718539,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718539,"Implementing Fuzzy Logic in Cognitive Sensor Networks for Environmental Monitoring - 2024 Third International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)",Requested
A028,10.1109/ICABME66883.2025.11211707,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11211707,Urban Air Quality Analysis Using Ensemble Learning - 2025 Eighth International Conference on Advances in Biomedical Engineering (ICABME),Descargado
A048,10.1109/UR57808.2023.10202419,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10202419,Vision and Olfactory-Based Wildfire Monitoring with Uncrewed Aircraft Systems - 2023 20th International Conference on Ubiquitous Robots (UR),ResearchGate
A078,10.1016/j.envsoft.2025.106828,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025012854&doi=10.1016%2Fj.envsoft.2025.106828&partnerID=40&md5=da8552a10d5d883a4064354ceeaf9c16,Soft computing techniques for atmospheric pollution and traffic emission prediction,ResearchGate
A079,10.1016/j.jobe.2025.115048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026132483&doi=10.1016%2Fj.jobe.2025.115048&partnerID=40&md5=66f79a9a9efe993768410dd1eef926ca,Intelligent multi-pollutant prediction for indoor air quality management in industrial buildings using adaptive sensor fusion,ResearchGate
A080,10.1007/s40010-026-00981-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027813673&doi=10.1007%2Fs40010-026-00981-y&partnerID=40&md5=642e90efd94f59389b76a7ad28637992,Development of a Fuzzy Logic-Based Smart Closed Loop Control and Warning System for Kitchen Hoods,ResearchGate
A082,10.1007/978-3-032-08570-2_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021836153&doi=10.1007%2F978-3-032-08570-2_7&partnerID=40&md5=73ec85e16191f01781d49934bf902a4b,Toward Air Quality Fuzzy Classification: Measuring the Performance of Fuzzy Logic Methods for Air Quality Classification,ResearchGate
A084,10.1016/j.envsoft.2025.106734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018450961&doi=10.1016%2Fj.envsoft.2025.106734&partnerID=40&md5=4491aab1e394b4dbc92e42f19152b68e,Explainable AI for rule reduction in fuzzy models for air pollution measurement adjustment,Descargado
A085,10.1007/s40860-025-00258-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020948909&doi=10.1007%2Fs40860-025-00258-y&partnerID=40&md5=55de1f6ccea25b7aa874518ad6c3cb55,Decision support system using the expert-fuzzy method in validating real-time acid rain measurements,ResearchGate
A087,10.1038/s41598-025-02435-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005525294&doi=10.1038%2Fs41598-025-02435-8&partnerID=40&md5=ad6e186f357141e62976908017619e8e,IoT-based filter management system using reinforced ANFIS for VOCs reduction in urban industrial facilities,Descargado
A091,10.1007/s10661-025-14377-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012261329&doi=10.1007%2Fs10661-025-14377-9&partnerID=40&md5=76df87e5ed5d246bda714415f60f0507,"Evaluating the transferability of low-cost sensor calibration using ANFIS: a field study in Putrajaya, Malaysia",ResearchGate
A099,10.15439/2025F3919,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022253537&doi=10.15439%2F2025F3919&partnerID=40&md5=c90818aa9de1410ae5e403fa0210f664,Enhancing Low-Cost Air Quality Sensors with AI for Smart Green Routing,Descargado
A103,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008518828&partnerID=40&md5=c46b6481697f85fd42117a0e44a33aa8,Methods and Algorithms for Decision-Making in Agro-Industrial Environmental Management,Descargado
A107,10.1051/bioconf/202414403004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216670502&doi=10.1051%2Fbioconf%2F202414403004&partnerID=40&md5=907452816aa40a6eeadd8527014a2b4a,Real-Time Monitoring System for CO Pollutant Concentration Using Fuzzy Logic on an Internet of Things (IoT) Platform and Telegram Around UNNES,Descargado
A110,10.1002/tqem.22236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191692939&doi=10.1002%2Ftqem.22236&partnerID=40&md5=0ca785c5d5d6b0c88172426404d4468b,Technological progression associated with monitoring and management of indoor air pollution and associated health risks: A comprehensive review,ResearchGate
A111,10.1007/s11227-023-05782-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178430870&doi=10.1007%2Fs11227-023-05782-3&partnerID=40&md5=394ee2c6a23d7917a865c6617e8bd7d8,A novel hybrid time-series approach for IoT-cloud-enabled environment monitoring,ResearchGate
A113,10.1201/9781032683805-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206699894&doi=10.1201%2F9781032683805-5&partnerID=40&md5=2b4453c6af6e560b1189892bafb3f91e,Forecasting Air Pollution with Artificial Intelligence: Recent Advancements at Global Scale and Future Perspectives,ResearchGate
A114,10.18494/SAM4661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202751409&doi=10.18494%2FSAM4661&partnerID=40&md5=8b0c1e9ecc69b706b8604360e4faa639,Intelligent Factory with Environment Quality Control Based on Fuzzy Method through Deep Reinforcement Learning,Descargado
A117,10.14569/IJACSA.2024.0150684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198293522&doi=10.14569%2FIJACSA.2024.0150684&partnerID=40&md5=f78d46ce9c42d591d7624491e738933e,Real-Time Air Quality Monitoring Model using Fuzzy Inference System,Descargado
A123,10.11591/ijeecs.v32.i2.pp715-724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174256530&doi=10.11591%2Fijeecs.v32.i2.pp715-724&partnerID=40&md5=4fae550d9e52282433e1b642a7f32d1f,Microcontroller-based air quality monitoring design using mamdani fuzzy method,Descargado
A124,10.1007/s40808-023-01701-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147502380&doi=10.1007%2Fs40808-023-01701-w&partnerID=40&md5=ea5a3c9299ef4785495027794fa62633,Modeling and implementation of a low-cost IoT-smart weather monitoring station and air quality assessment based on fuzzy inference model and MQTT protocol,Descargado
