Article_ID,Title,DOI,Retrieval_result
A001,UAV-Based Hybrid Fuzzy Inference Framework for Symmetry and Asymmetry in Real-Time Air Quality Monitoring,10.3390/sym17122048,Retrieved
A005,Real-Time Data Fusion Algorithm for Multi-Modal Environmental Sensor Networks Using Kalman Filtering and IoT Integration,10.1080/00032719.2026.2615824,Requested
A008,IoT-Based Air Quality Monitoring System Using Tsukamoto Fuzzy Logic - 2025 7th International Conference on Cybernetics and Intelligent System (ICORIS),10.1109/ICORIS67789.2025.11296111,Not retrieved
A009,Air Quality Indices Prediction using Sugeno’s Fuzzy Logic - 2022 International Conference on IoT and Blockchain Technology (ICIBT),10.1109/ICIBT52874.2022.9807786,Retrieved
A010,"Optimizing Indoor Air Quality: A Fuzzy Logic-based Control System - 2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)",10.1109/ICACRS58579.2023.10404877,Requested
A016,"IoT-based Indoor Air Quality Surveillance and Purifier - 2023 IEEE 5th Eurasia Conference on IOT, Communication and Engineering (ECICE)",10.1109/ECICE59523.2023.10383051,Requested
A019,An IoT-based Approach to Air Circulation within a Specific Room Environment - 2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS),10.1109/ICAIS56108.2023.10073742,Requested
A020,Indoor air quality assessment and control using fuzzy inference - 2022 IEEE 10th International Conference on Smart City and Informatization (iSCI),10.1109/iSCI57775.2022.00019,Requested
A021,Smartphone Application As An Air Quality Monitor Using Raspberry Pi For Reducing Air Pollution - 2021 2nd International Conference on Innovative and Creative Information Technology (ICITech),10.1109/ICITech50181.2021.9590187,Retrieved
A028,Urban Air Quality Analysis Using Ensemble Learning - 2025 Eighth International Conference on Advances in Biomedical Engineering (ICABME),10.1109/ICABME66883.2025.11211707,Retrieved
A048,Vision and Olfactory-Based Wildfire Monitoring with Uncrewed Aircraft Systems - 2023 20th International Conference on Ubiquitous Robots (UR),10.1109/UR57808.2023.10202419,Requested
A079,Intelligent multi-pollutant prediction for indoor air quality management in industrial buildings using adaptive sensor fusion,10.1016/j.jobe.2025.115048,Requested
A080,Development of a Fuzzy Logic-Based Smart Closed Loop Control and Warning System for Kitchen Hoods,10.1007/s40010-026-00981-y,Requested
