value,k
PM_Sensor,10
TempHumidity_Sensor,9
CO_Sensor,8
MCU_Arduino,7
Other:SO2_Sensor,2
Other:MQ135(CO2),2
Alarm_Module,2
Other:MultiGas_MQ135,1
NR,1
Other:SPS30,1
Other:PMS5003,1
Other:Reference_Station,1
Other:MQ135,1
Other:ESP32_Controller,1
Other:NO2_Sensor,1
Other:PID-A15,1
Other:MQ138,1
Other:Smoke_Sensor_MQ2,1
Other:FID_PHX42_Reference,1
Other:TGS2201,1
Other:MQ136,1
Other:ATMega32,1
Other:ESP32,1
Other:Exhaust_Fan,1
Other:Particle_Counter,1
Other:CCS811(CO2_tVOC),1
Other:MultiParameter_Unit,1
Other:Multigas(NO2_CO),1
Other:CO2_VOC_Sensor_CCS811,1
Other:BLE_Beacon,1
Other:BLE_EchoBeacon,1
Other:BLE_Gateway,1
Other:SOLAIR3100,1
Other:IoT_Collection_Nodes,1
Other:CO2_TVOC_Sensor_SGP30,1
Other:WP6003_Device,1
Other:ESP32_MCU,1
Other:PMS7003,1
Other:RaspberryPi3,1
Other:MQ7(CO),1
Other:MQ4(CH4),1
Other:RaspberryPi,1
Other:LoRa_Transceiver,1
MCU_NodeMCU,1
RTC_Module,1
Other:IoT_Air_Quality_Sensors,1
SBC_RaspberryPi,1
