value,k
MATLAB,7
WiFi,6
Cloud_Server,6
MCU_Arduino,4
ThingSpeak,3
Bluetooth,3
ESP8266,3
ESP32,3
RaspberryPi,2
Zigbee,2
Python,2
NR,2
Other:Arduino_Controllers,1
Other:Local_DB_Server,1
Other:MCU_CORTEX-M3,1
Other:Ethernet,1
Other:CAN,1
Other:Cloud_Data_Access,1
Other:NRF24L01_RF_Link,1
Other:SD_Logging,1
Other:ATMega32,1
Other:LCD,1
Other:CodeVision_CVAVR,1
Other:MAX232,1
Other:WordPress,1
Other:AWS_IoT,1
Other:Firebase,1
Other:Android_Studio,1
Other:Thonny,1
Other:Gateway_LAN,1
Other:BluEpyc,1
Other:IBM_SPSS,1
Other:IoT_Sensor_Network,1
Other:SGP30,1
Other:WP6003,1
Other:JavaScript_Web_App,1
Other:Google_Colab,1
Other:PMS7003,1
LoRa,1
I2C,1
Serial,1
Google_Sheets,1
HDFS_MapReduce,1
Google_Map,1
AWS_EC2,1
